               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13347,            0.017339,            0.050889,                   0,                   0,                   0,                   0,             0.13481,            0.014965,             0.05455,            0.070625,           0.0032639,           0.0032639
                   1,             0.13101,            0.013026,            0.051237,                   0,                   0,                   0,                   0,             0.12855,            0.012013,            0.053136,             0.04056,           0.0065319,           0.0065319
                   2,              0.1215,           0.0099885,            0.046956,           0.0004305,            0.044218,           0.0002827,          6.9928e-05,             0.12875,           0.0092236,            0.048426,            0.010428,           0.0097339,           0.0097339
                   3,             0.11882,           0.0082675,            0.042954,          0.00056298,            0.047619,            0.016822,           0.0059557,             0.12645,           0.0098535,            0.043563,            0.009703,            0.009703,            0.009703
                   4,             0.11467,           0.0072184,            0.040838,           0.0021786,             0.37415,            0.044649,           0.0061095,             0.12157,           0.0082641,            0.042658,            0.009703,            0.009703,            0.009703
                   5,             0.10925,           0.0065345,             0.03832,             0.58914,            0.068027,            0.013905,            0.006166,             0.12345,           0.0088016,            0.039089,            0.009604,            0.009604,            0.009604
                   6,             0.11329,           0.0070211,            0.034583,              0.8763,            0.035714,            0.067622,            0.033664,             0.12245,           0.0092923,            0.035959,            0.009505,            0.009505,            0.009505
                   7,             0.11019,           0.0069013,            0.035492,             0.71952,            0.047619,              0.1111,            0.032887,             0.12063,           0.0082671,             0.03392,            0.009406,            0.009406,            0.009406
                   8,             0.11184,           0.0062777,             0.03002,             0.61787,            0.068027,            0.093546,            0.036645,             0.12325,           0.0081806,            0.039638,            0.009307,            0.009307,            0.009307
                   9,             0.11346,           0.0075581,            0.028538,              0.5316,             0.22763,             0.10133,            0.036754,             0.11799,           0.0093959,            0.040607,            0.009208,            0.009208,            0.009208
                  10,             0.10899,           0.0064292,            0.028832,             0.66524,             0.20888,             0.10999,            0.042843,             0.11125,           0.0094385,            0.037823,            0.009109,            0.009109,            0.009109
                  11,             0.10666,           0.0067354,            0.025986,             0.67249,              0.2017,             0.11405,            0.040316,             0.11385,           0.0089938,            0.034262,             0.00901,             0.00901,             0.00901
                  12,             0.11208,           0.0066634,            0.028819,             0.68941,             0.21088,             0.14954,            0.057203,             0.11185,           0.0091238,            0.031266,            0.008911,            0.008911,            0.008911
                  13,             0.11291,           0.0064819,            0.022366,             0.80492,             0.12905,             0.16977,            0.068704,              0.1125,           0.0088969,            0.034467,            0.008812,            0.008812,            0.008812
                  14,             0.10822,           0.0061992,             0.02573,              0.7087,             0.19558,             0.14872,            0.039463,             0.11758,           0.0079788,            0.028467,            0.008713,            0.008713,            0.008713
                  15,             0.10322,           0.0070699,            0.020993,             0.90354,            0.047619,             0.17063,            0.052192,             0.11371,           0.0084713,            0.034232,            0.008614,            0.008614,            0.008614
                  16,             0.10529,           0.0067348,            0.025039,             0.78266,             0.18703,             0.21947,            0.069695,             0.10895,           0.0086448,            0.029027,            0.008515,            0.008515,            0.008515
                  17,             0.10581,           0.0063831,            0.023039,             0.78102,             0.16567,             0.18727,            0.052218,               0.108,           0.0094501,            0.027973,            0.008416,            0.008416,            0.008416
                  18,             0.10398,           0.0069078,             0.02412,             0.76905,             0.19898,             0.17808,            0.051231,             0.11022,             0.00852,            0.028537,            0.008317,            0.008317,            0.008317
                  19,            0.099719,            0.006596,            0.023021,             0.74088,             0.23129,             0.19553,             0.10543,             0.11402,           0.0078769,            0.029706,            0.008218,            0.008218,            0.008218
                  20,              0.1081,           0.0061008,            0.025261,             0.73418,             0.19874,             0.26556,            0.069456,             0.10839,           0.0083499,            0.033087,            0.008119,            0.008119,            0.008119
                  21,            0.099506,           0.0058931,            0.022332,             0.71053,             0.19898,             0.10943,            0.038574,             0.10729,           0.0087242,            0.035506,             0.00802,             0.00802,             0.00802
                  22,              0.1047,           0.0068409,            0.023441,             0.67042,             0.13946,             0.13495,            0.043815,             0.10813,           0.0083469,            0.033574,            0.007921,            0.007921,            0.007921
                  23,             0.10522,           0.0068536,            0.023489,             0.65552,             0.23129,             0.13843,            0.050342,             0.11602,           0.0077694,            0.028397,            0.007822,            0.007822,            0.007822
                  24,             0.10221,           0.0072616,            0.024374,             0.76648,             0.15986,             0.12665,            0.036711,             0.11189,           0.0083061,            0.024939,            0.007723,            0.007723,            0.007723
                  25,             0.10159,           0.0065663,            0.020838,             0.78781,             0.19236,             0.21882,            0.096629,             0.10705,           0.0087661,            0.024897,            0.007624,            0.007624,            0.007624
                  26,            0.097134,           0.0070621,            0.022058,             0.85199,             0.19898,             0.20376,            0.055756,             0.10912,           0.0083032,            0.026171,            0.007525,            0.007525,            0.007525
                  27,             0.10184,           0.0069116,            0.020955,             0.83587,             0.18129,               0.219,            0.066327,             0.11064,           0.0087008,            0.027341,            0.007426,            0.007426,            0.007426
                  28,            0.098911,            0.006602,            0.018846,              0.8766,             0.18548,             0.13234,            0.049818,             0.11332,           0.0080654,             0.02929,            0.007327,            0.007327,            0.007327
                  29,            0.097624,            0.006435,            0.022527,             0.89639,             0.17857,             0.20655,            0.058856,             0.10318,           0.0087049,            0.026722,            0.007228,            0.007228,            0.007228
                  30,            0.092657,            0.006723,             0.02316,             0.85961,             0.21088,             0.24048,            0.067004,             0.10226,           0.0084072,            0.027815,            0.007129,            0.007129,            0.007129
                  31,            0.098496,           0.0069783,            0.023017,             0.65735,             0.21088,             0.14281,             0.03744,             0.10047,           0.0086585,            0.027844,             0.00703,             0.00703,             0.00703
                  32,            0.093486,           0.0074864,             0.02139,             0.78876,              0.1983,             0.27921,             0.12704,             0.10381,           0.0088713,            0.025596,            0.006931,            0.006931,            0.006931
                  33,            0.090407,           0.0071425,            0.020757,             0.83753,             0.20805,              0.2402,            0.063576,             0.10155,           0.0088135,            0.023053,            0.006832,            0.006832,            0.006832
                  34,            0.095322,           0.0073937,            0.022047,             0.83226,             0.19898,             0.35337,             0.14465,             0.10262,           0.0088346,             0.02321,            0.006733,            0.006733,            0.006733
                  35,            0.091691,           0.0069453,            0.020016,             0.72143,             0.10714,             0.21926,            0.037859,             0.10969,           0.0077451,            0.025465,            0.006634,            0.006634,            0.006634
                  36,            0.095814,           0.0081589,            0.020037,             0.85362,             0.22279,             0.26155,             0.11047,             0.10163,           0.0084701,            0.022699,            0.006535,            0.006535,            0.006535
                  37,            0.090284,           0.0071886,            0.020021,             0.80651,             0.19048,             0.26609,            0.086172,             0.10048,           0.0085989,            0.023388,            0.006436,            0.006436,            0.006436
                  38,            0.088809,           0.0070232,            0.018077,             0.73207,             0.27551,             0.26851,            0.060766,            0.095383,           0.0088475,            0.024279,            0.006337,            0.006337,            0.006337
                  39,             0.08938,           0.0081323,            0.017538,             0.56053,              0.2517,             0.21311,            0.051717,            0.095943,           0.0087557,            0.024403,            0.006238,            0.006238,            0.006238
                  40,            0.091675,           0.0069708,            0.019592,             0.70587,             0.27098,             0.26953,            0.089824,            0.096572,           0.0087331,            0.024764,            0.006139,            0.006139,            0.006139
                  41,             0.08745,           0.0073206,            0.021612,             0.66017,             0.21962,             0.24663,            0.071737,             0.10304,           0.0079553,            0.025991,             0.00604,             0.00604,             0.00604
                  42,            0.088245,           0.0068364,            0.016348,              0.7547,             0.24924,             0.25709,            0.076995,              0.0993,           0.0086565,            0.026658,            0.005941,            0.005941,            0.005941
                  43,            0.085554,           0.0078534,            0.018105,             0.83744,             0.27041,              0.3092,             0.11626,            0.092441,           0.0095284,            0.025971,            0.005842,            0.005842,            0.005842
                  44,            0.088889,           0.0064409,            0.020711,             0.76932,             0.18039,             0.26652,            0.058515,             0.10626,           0.0083304,            0.029316,            0.005743,            0.005743,            0.005743
                  45,            0.086065,            0.007864,            0.017705,             0.86803,             0.26015,             0.32277,             0.14806,            0.096922,           0.0091499,            0.027131,            0.005644,            0.005644,            0.005644
                  46,            0.086271,           0.0065543,             0.02202,             0.73737,             0.23469,             0.25084,            0.097262,            0.099755,           0.0083064,            0.024722,            0.005545,            0.005545,            0.005545
                  47,            0.086703,           0.0074509,            0.021064,             0.76764,              0.2551,             0.33843,             0.12972,            0.092783,           0.0089608,            0.024434,            0.005446,            0.005446,            0.005446
                  48,            0.080149,           0.0072935,            0.020923,             0.65839,             0.21429,             0.24136,            0.094124,            0.097637,           0.0086043,            0.023892,            0.005347,            0.005347,            0.005347
                  49,            0.084158,           0.0081029,            0.020353,             0.80179,             0.23129,             0.27897,             0.16376,            0.093275,           0.0082967,            0.024952,            0.005248,            0.005248,            0.005248
                  50,            0.082544,           0.0072983,            0.021957,             0.97229,              0.1821,             0.25058,             0.10758,            0.098442,           0.0083889,            0.024796,            0.005149,            0.005149,            0.005149
                  51,            0.081771,           0.0072922,            0.020942,             0.59584,                0.25,             0.21253,            0.069938,            0.098954,            0.008904,            0.025944,             0.00505,             0.00505,             0.00505
